event_params__ga_session_id,user_pseudo_id,customer_character_count,character_list,average_tier,average_wrong_answers,session_duration_seconds,session_start_time,Wheel_Impression,Wheel_Skips,Wheel_Spins,Ads_Watched_Count,gold_starting,gold_gained,gold_spent,gold_delta,is_depted_for_doll,Potions_Bought,Incenses_Bought,Amulets_Bought,AliCin_Used,Cauldron_Used,Coffee_Used,bought_new_customer
1758310119.0,2c47397152df7cf520f26b3e2bd289d9,5,"['Billy', 'Frenchie', 'Frenchie', 'Frenchie', 'Frenchie', 'Frenchie', 'Frenchie', 'Frenchie', 'Frenchie', 'Mi', 'Mi', 'Mi', 'Mi', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'Billy', 'Billy', 'Billy', 'Billy', 'Mi', 'Mi', 'Mi', 'Mi', 'Mi', 'Mi', 'Mi', 'Mi', 'Frenchie', 'Frenchie', 'Frenchie', 'Frenchie', 'Mi', 'Mi', 'Mi', 'Mi', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Frenchie', 'Frenchie', 'Frenchie', 'Frenchie', 'Mi', 'Mi', 'Mi', 'Mi', 'Mr. Yogurt']",2.54,0.15,2865.99,2025-09-19 19:28:39.367000+00:00,1,0,1,0,380.0,2100.0,200.0,1900.0,0.0,1.0,0.0,0.0,,,,1
1758342809.0,744a37f98b8975b7993e38979ae329da,1,"['Mo', 'Mo']",1.0,1.83,203.5,2025-09-20 04:33:29.758000+00:00,0,0,0,0,790.0,20.0,0.0,20.0,0.0,,,,1.0,0.0,1.0,0
1758349196.0,6b7bfe13725352467ae11e02235f3a6c,2,"['T', 'T', 'T', 'T', 'T', 'T', 'T', 'Mi', 'Mi']",1.44,0.78,3248.05,2025-09-20 06:19:56.206000+00:00,0,0,0,0,330.0,240.0,0.0,240.0,0.0,,,,1.0,1.0,1.0,0
1758355872.0,a8e9aa3492e6a8e39382c4af63a2966a,2,"['T', 'T', 'T', 'T', 'Mo', 'Mo', 'Mo', 'Mo', 'T', 'T', 'T', 'T', 'T']",2.46,0.0,858.36,2025-09-20 08:11:12.544000+00:00,0,0,0,0,1500.0,360.0,2200.0,-1840.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1758355950.0,5448559ae43135df0a1f2e23ebe82661,2,"['Mo', 'Mo', 'Mo', 'Mo', 'T', 'T', 'T', 'T', 'T']",1.11,0.1,1032.88,2025-09-20 08:12:30.957000+00:00,0,0,0,0,80.0,380.0,200.0,180.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
1758359154.0,4cc78993f8236585546a9f6aeffa0d13,3,"['Mi', 'Mi', 'T', 'T', 'T', 'T', 'Mo', 'Mo', 'Mo', 'Mo', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'Mi', 'Mi', 'Mi', 'Mi', 'T', 'T', 'T', 'T', 'Mo']",1.89,0.73,5347.24,2025-09-20 09:05:54.736000+00:00,0,0,0,0,1110.0,1530.0,800.0,730.0,0.0,0.0,1.0,0.0,,,,1
1758360794.0,744a37f98b8975b7993e38979ae329da,1,['Mo'],1.0,1.36,195.58,2025-09-20 09:33:14.564000+00:00,0,0,0,0,810.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,1.0,0
1758368275.0,2c47397152df7cf520f26b3e2bd289d9,2,"['Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Billy', 'Billy', 'Billy', 'Billy', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt']",2.33,0.1,3203.11,2025-09-20 11:37:55.535000+00:00,1,0,1,0,2480.0,410.0,200.0,210.0,0.0,0.0,1.0,0.0,,,,0
1758368930.0,823633d925e6b92a4da9de5ee9787a51,5,"['Frenchie', 'Frenchie', 'Frenchie', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'Mi', 'Mi', 'Mi', 'Mi', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe']",1.83,1.2,702.95,2025-09-20 11:48:50.751000+00:00,1,0,1,0,4070.0,720.0,1500.0,-780.0,0.0,,,,,,,1
1758369825.0,4cc78993f8236585546a9f6aeffa0d13,1,['Mo'],1.0,0.71,64.39,2025-09-20 12:03:45.515000+00:00,0,0,0,0,0.0,50.0,0.0,50.0,0.0,,,,,,,0
1758373039.0,4cc78993f8236585546a9f6aeffa0d13,3,"['Mo', 'Mo', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'C Jay', 'C Jay', 'C Jay', 'C Jay']",2.9,0.07,3327.98,2025-09-20 12:57:19.564000+00:00,0,0,0,0,0.0,1150.0,2000.0,-850.0,1.0,,,,,,,1
1758382717.0,744a37f98b8975b7993e38979ae329da,3,"['Mo', 'Mo', 'Mo', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'Mi', 'Mi', 'Mi', 'Mi', 'Mi', 'Mi']",1.71,1.25,5115.5,2025-09-20 15:38:37.024000+00:00,0,0,0,0,6510.0,330.0,0.0,330.0,0.0,,,,0.0,0.0,5.0,1
1758391519.0,744a37f98b8975b7993e38979ae329da,1,['Mi'],1.0,0.17,41.08,2025-09-20 18:05:19.769000+00:00,0,0,0,0,1140.0,0.0,0.0,0.0,0.0,,,,,,,0
1758394722.0,2c47397152df7cf520f26b3e2bd289d9,2,"['Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt']",3.29,0.71,765.82,2025-09-20 18:58:42.592000+00:00,0,0,0,0,2640.0,490.0,200.0,290.0,0.0,1.0,0.0,0.0,,,,0
1758397694.0,0f8f649263450c258692b2c77bc0fb0d,4,"['Mo', 'Mo', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Frenchie']",2.81,0.81,920.88,2025-09-20 19:48:14.375000+00:00,0,0,0,0,2610.0,1170.0,2200.0,-1030.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,1
1758402760.0,5f84f13d37dad04639af109c15e21f17,1,['Mi'],1.0,1.2,38.05,2025-09-20 21:12:40.427000+00:00,0,0,0,0,810.0,0.0,0.0,0.0,0.0,,,,,,,0
1758405744.0,2c47397152df7cf520f26b3e2bd289d9,5,"['Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Lady Dodo', 'Lady Dodo', 'Lady Dodo', 'Lady Dodo', 'Why Margaret', 'Why Margaret', 'Why Margaret', 'Why Margaret', 'Big A', 'Big A', 'Big A', 'Big A', 'Sue Doluni', 'Sue Doluni', 'Sue Doluni', 'Sue Doluni', 'Big A']",1.38,0.91,943.93,2025-09-20 22:02:24.117000+00:00,0,0,0,0,2930.0,610.0,600.0,10.0,0.0,1.0,1.0,1.0,,,,1
1758433694.0,e6b7338f440a427107cdcf28fe55fb62,3,"['Billy', 'Billy', 'Billy', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'Billy', 'Billy', 'Billy', 'Billy', 'Mi', 'Mi', 'Mi', 'Mi']",1.27,1.06,490.44,2025-09-21 05:48:14.268000+00:00,1,0,1,0,1310.0,400.0,600.0,-200.0,0.0,1.0,0.0,2.0,,,,1
1758441029.0,6e4f632b8ff65452b5b431366cb5137d,5,"['T', 'T', 'T', 'T', 'T', 'T', 'T', 'Mi', 'Mi', 'Mi', 'Mi', 'Mi', 'Mi', 'Mi', 'Mi', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'Frenchie', 'Frenchie', 'Frenchie', 'Frenchie', 'C Jay', 'C Jay', 'C Jay', 'C Jay']",1.93,0.25,1437.4,2025-09-21 07:50:29.471000+00:00,0,0,0,0,130.0,1570.0,1300.0,270.0,0.0,1.0,0.0,1.0,25.0,0.0,0.0,1
1758441525.0,6b7bfe13725352467ae11e02235f3a6c,2,"['Mi', 'Mi', 'Mi', 'T', 'T']",1.4,0.25,1762.44,2025-09-21 07:58:45.532000+00:00,0,0,0,0,570.0,30.0,0.0,30.0,0.0,,,,,,,0
1758443455.0,5448559ae43135df0a1f2e23ebe82661,3,"['T', 'T', 'T', 'T', 'Mi', 'Mi', 'Mi', 'Mi', 'T', 'T', 'T', 'T', 'Mo']",1.62,0.0,1375.6,2025-09-21 08:30:55.867000+00:00,0,0,0,0,560.0,600.0,0.0,600.0,0.0,,,,2.0,7.0,3.0,1
1758451389.0,a8e9aa3492e6a8e39382c4af63a2966a,2,"['T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt']",3.14,0.69,717.96,2025-09-21 10:43:09.079000+00:00,0,0,0,0,370.0,330.0,0.0,330.0,0.0,,,,,,,0
1758452474.0,4cc78993f8236585546a9f6aeffa0d13,1,['C Jay'],1.0,1.12,52.03,2025-09-21 11:01:14.190000+00:00,1,1,0,0,1340.0,0.0,0.0,0.0,0.0,,,,,,,0
1758455530.0,744a37f98b8975b7993e38979ae329da,1,"['Mi', 'Mi', 'Mi', 'Mi']",1.0,0.77,2971.69,2025-09-21 11:52:10.273000+00:00,0,0,0,0,4560.0,0.0,0.0,0.0,0.0,,,,,,,0
