2025-10-29 13:22:08,312  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:22:08,312  	INFO    	pipeline.utils.staging             	Running mini_game_dolls...
2025-10-29 13:22:08,317  	INFO    	pipeline.utils.feature_engineering 	Extracted doll data for 23 rows.
2025-10-29 13:22:08,317  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:22:08,317  	INFO    	pipeline.utils.staging             	Running currency_define_permanent...
2025-10-29 13:22:08,323  	INFO    	pipeline.utils.feature_engineering 	Extracted permanent shop item data for 42 rows.
2025-10-29 13:22:08,323  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:22:08,324  	INFO    	pipeline.utils.staging             	Running currency_define_consumable...
2025-10-29 13:22:08,329  	INFO    	pipeline.utils.feature_engineering 	Extracted consumable shop item data for 206 rows.
2025-10-29 13:22:08,329  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:22:08,330  	INFO    	pipeline.utils.staging             	Running currency_define_board...
2025-10-29 13:22:08,334  	INFO    	pipeline.utils.feature_engineering 	Extracted board item data for 83 rows.
2025-10-29 13:22:08,334  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:22:08,334  	INFO    	pipeline.utils.staging             	Running currency_define_keys...
2025-10-29 13:22:08,336  	INFO    	pipeline.utils.feature_engineering 	Defined keys in spent_to for 6 rows.
2025-10-29 13:22:08,336  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:22:08,336  	INFO    	pipeline.utils.staging             	Running apply_value_maps...
2025-10-29 13:22:08,386  	WARNING 	pipeline.utils.feature_engineering 	'event_params__ad_shown_where' not found in DataFrame.
2025-10-29 13:22:08,389  	WARNING 	pipeline.utils.feature_engineering 	'spent_in_crystal' not found in DataFrame.
2025-10-29 13:22:08,398  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:22:08,398  	INFO    	pipeline.utils.staging             	Running question_addressable_index...
2025-10-29 13:22:08,416  	INFO    	pipeline.utils.feature_engineering 	Question address created for 18426 rows.
2025-10-29 13:22:08,416  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:22:08,632  	INFO    	__main__                           	Data pipeline complete. Processed data saved.
2025-10-29 13:25:43,680  	INFO    	__main__                           	Initializing pipeline...
2025-10-29 13:25:45,146  	INFO    	__main__                           	Module imports successful.
2025-10-29 13:25:45,146  	INFO    	__main__                           	Validating folder structure...
2025-10-29 13:25:45,147  	INFO    	pipeline.utils.main_functions      	Folder structure validated.
2025-10-29 13:25:45,147  	INFO    	__main__                           	Setting configuration parameters...
2025-10-29 13:25:45,147  	INFO    	__main__                           	Initializing BigQuery client...
2025-10-29 13:25:45,192  	INFO    	__main__                           	BigQuery client initialized.
2025-10-29 13:25:45,192  	INFO    	__main__                           	Starting data pull...
2025-10-29 13:25:45,207  	INFO    	pipeline.utils.staging             	Running pull_from_bq...
2025-10-29 13:25:46,951  	INFO    	pipeline.utils.pull_functions      	No new tables to process.
2025-10-29 13:25:46,952  	INFO    	pipeline.utils.pull_functions      	Merging data...
2025-10-29 13:25:47,978  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:25:47,978  	INFO    	pipeline.utils.staging             	Running flatten_dataframe...
2025-10-29 13:25:51,001  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:25:51,001  	INFO    	pipeline.utils.staging             	Running dots_to_underscores...
2025-10-29 13:25:51,001  	INFO    	pipeline.utils.cleaning_functions  	Column names updated to use '__' instead of '.' successfully.
2025-10-29 13:25:51,002  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:25:51,002  	INFO    	pipeline.utils.staging             	Running transform_datetime_fields...
2025-10-29 13:25:51,056  	INFO    	pipeline.utils.time_and_date_functions	Date/time cleanup and transformation complete.
2025-10-29 13:25:51,061  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:25:51,061  	INFO    	pipeline.utils.staging             	Running add_time_based_features...
2025-10-29 13:25:51,085  	INFO    	pipeline.utils.time_and_date_functions	Time-based features added successfully.
2025-10-29 13:25:51,085  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:25:51,085  	INFO    	pipeline.utils.staging             	Running add_durations...
2025-10-29 13:25:51,138  	INFO    	pipeline.utils.time_and_date_functions	Session IDs assigned and durations calculated for 356 unique sessions.
2025-10-29 13:25:51,166  	INFO    	pipeline.utils.time_and_date_functions	Event durations within sessions calculated successfully.
2025-10-29 13:25:51,171  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:25:51,171  	INFO    	pipeline.utils.staging             	Running forward_fill_progress...
2025-10-29 13:25:51,214  	INFO    	pipeline.utils.feature_engineering 	Character names, tiers, and question indices forward-filled for 356 unique sessions.
2025-10-29 13:25:51,219  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:25:51,219  	INFO    	pipeline.utils.staging             	Running question_index_cleanup...
2025-10-29 13:25:51,247  	INFO    	pipeline.utils.cleaning_functions  	Question index cleaned up for 18426 rows.
2025-10-29 13:25:51,247  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:25:51,247  	INFO    	pipeline.utils.staging             	Running question_cumulative_qi...
2025-10-29 13:25:51,263  	INFO    	pipeline.utils.feature_engineering 	Cumulative question index calculated for 18426 rows.
2025-10-29 13:25:51,263  	INFO    	pipeline.utils.staging             	f{stage_name} done.
