2025-10-31 12:19:31,671  	INFO    	__main__                                	Initializing pipeline...
2025-10-31 12:19:50,399  	INFO    	__main__                                	Module imports successful.
2025-10-31 12:19:50,399  	INFO    	__main__                                	Validating folder structure...
2025-10-31 12:19:50,400  	INFO    	pipeline.utils.main_functions           	Folder structure validated.
2025-10-31 12:19:50,400  	INFO    	__main__                                	Setting configuration parameters...
2025-10-31 12:19:50,400  	INFO    	__main__                                	Initializing BigQuery client...
2025-10-31 12:19:50,481  	INFO    	__main__                                	BigQuery client initialized.
2025-10-31 12:19:50,498  	INFO    	__main__                                	Starting data pull...
INFO    	__main__                                	Initializing pipeline...	2025-10-31 12:21:03,413  
INFO    	__main__                                	Module imports successful.	2025-10-31 12:21:04,783  
INFO    	__main__                                	Validating folder structure...	2025-10-31 12:21:04,783  
INFO    	pipeline.utils.main_functions           	Folder structure validated.	2025-10-31 12:21:04,784  
INFO    	__main__                                	Setting configuration parameters...	2025-10-31 12:21:04,784  
INFO    	__main__                                	Initializing BigQuery client...	2025-10-31 12:21:04,784  
INFO    	__main__                                	BigQuery client initialized.	2025-10-31 12:21:04,829  
INFO    	__main__                                	Starting data pull...	2025-10-31 12:21:04,831  
INFO    	pipeline.utils.staging                  	Running pull_from_bq...	2025-10-31 12:21:04,879  
INFO    	pipeline.utils.pull_functions           	Processing events_20251030...	2025-10-31 12:21:06,758  
INFO    	pipeline.utils.pull_functions           	Fetched 31 rows from events_20251030	2025-10-31 12:21:09,337  
INFO    	pipeline.utils.pull_functions           	Merging data...	2025-10-31 12:21:09,338  
INFO    	pipeline.utils.staging                  	pull_from_bq done.	2025-10-31 12:21:11,963  
INFO    	pipeline.utils.staging                  	Running flatten_dataframe...	2025-10-31 12:21:11,964  
INFO    	pipeline.utils.staging                  	flatten_dataframe done.	2025-10-31 12:21:14,979  
INFO    	pipeline.utils.staging                  	Running dots_to_underscores...	2025-10-31 12:21:14,980  
INFO    	pipeline.utils.cleaning_functions       	Column names updated to use '__' instead of '.' successfully.	2025-10-31 12:21:14,980  
INFO    	pipeline.utils.staging                  	dots_to_underscores done.	2025-10-31 12:21:14,980  
INFO    	pipeline.utils.staging                  	Running transform_datetime_fields...	2025-10-31 12:21:14,981  
INFO    	pipeline.utils.time_and_date_functions  	Date/time cleanup and transformation complete.	2025-10-31 12:21:15,100  
INFO    	pipeline.utils.staging                  	transform_datetime_fields done.	2025-10-31 12:21:15,104  
INFO    	pipeline.utils.staging                  	Running add_time_based_features...	2025-10-31 12:21:15,104  
INFO    	pipeline.utils.time_and_date_functions  	Time-based features added successfully.	2025-10-31 12:21:15,134  
INFO    	pipeline.utils.staging                  	add_time_based_features done.	2025-10-31 12:21:15,134  
INFO    	pipeline.utils.staging                  	Running add_durations...	2025-10-31 12:21:15,135  
INFO    	pipeline.utils.time_and_date_functions  	Session IDs assigned and durations calculated for 360 unique sessions.	2025-10-31 12:21:15,699  
INFO    	pipeline.utils.time_and_date_functions  	Event durations within sessions calculated successfully.	2025-10-31 12:21:15,724  
INFO    	pipeline.utils.staging                  	add_durations done.	2025-10-31 12:21:15,730  
INFO    	pipeline.utils.staging                  	Running forward_fill_progress...	2025-10-31 12:21:15,731  
INFO    	pipeline.utils.feature_engineering      	Character names, tiers, and question indices forward-filled for 360 unique sessions.	2025-10-31 12:21:15,779  
INFO    	pipeline.utils.staging                  	forward_fill_progress done.	2025-10-31 12:21:15,798  
INFO    	pipeline.utils.staging                  	Running question_index_cleanup...	2025-10-31 12:21:15,798  
INFO    	pipeline.utils.cleaning_functions       	Question index cleaned up for 18431 rows.	2025-10-31 12:21:15,827  
INFO    	pipeline.utils.staging                  	question_index_cleanup done.	2025-10-31 12:21:15,827  
INFO    	pipeline.utils.staging                  	Running question_cumulative_qi...	2025-10-31 12:21:15,827  
INFO    	pipeline.utils.feature_engineering      	Cumulative question index calculated for 18431 rows.	2025-10-31 12:21:15,842  
INFO    	pipeline.utils.staging                  	question_cumulative_qi done.	2025-10-31 12:21:15,843  
INFO    	pipeline.utils.staging                  	Running mini_game_features...	2025-10-31 12:21:15,843  
INFO    	pipeline.utils.feature_engineering      	Extracted maze hand data for 73 rows.	2025-10-31 12:21:15,851  
INFO    	pipeline.utils.staging                  	mini_game_features done.	2025-10-31 12:21:15,852  
INFO    	pipeline.utils.staging                  	Running mini_game_reward_split...	2025-10-31 12:21:15,852  
INFO    	pipeline.utils.feature_engineering      	Extracted buff data for 76 rows.	2025-10-31 12:21:15,861  
INFO    	pipeline.utils.staging                  	mini_game_reward_split done.	2025-10-31 12:21:15,862  
INFO    	pipeline.utils.staging                  	Running mini_game_buffs...	2025-10-31 12:21:15,862  
INFO    	pipeline.utils.feature_engineering      	Extracted earned buff data for 76 rows.	2025-10-31 12:21:15,868  
INFO    	pipeline.utils.staging                  	mini_game_buffs done.	2025-10-31 12:21:15,868  
INFO    	pipeline.utils.staging                  	Running mini_game_dolls...	2025-10-31 12:21:15,868  
INFO    	pipeline.utils.feature_engineering      	Extracted doll data for 23 rows.	2025-10-31 12:21:15,874  
INFO    	pipeline.utils.staging                  	mini_game_dolls done.	2025-10-31 12:21:15,874  
INFO    	pipeline.utils.staging                  	Running currency_define_permanent...	2025-10-31 12:21:15,874  
INFO    	pipeline.utils.feature_engineering      	Extracted permanent shop item data for 42 rows.	2025-10-31 12:21:15,880  
INFO    	pipeline.utils.staging                  	currency_define_permanent done.	2025-10-31 12:21:15,880  
INFO    	pipeline.utils.staging                  	Running currency_define_consumable...	2025-10-31 12:21:15,880  
INFO    	pipeline.utils.feature_engineering      	Extracted consumable shop item data for 206 rows.	2025-10-31 12:21:15,886  
INFO    	pipeline.utils.staging                  	currency_define_consumable done.	2025-10-31 12:21:15,887  
INFO    	pipeline.utils.staging                  	Running currency_define_board...	2025-10-31 12:21:15,887  
INFO    	pipeline.utils.feature_engineering      	Extracted board item data for 83 rows.	2025-10-31 12:21:15,890  
INFO    	pipeline.utils.staging                  	currency_define_board done.	2025-10-31 12:21:15,890  
INFO    	pipeline.utils.staging                  	Running currency_define_keys...	2025-10-31 12:21:15,890  
INFO    	pipeline.utils.feature_engineering      	Defined keys in spent_to for 6 rows.	2025-10-31 12:21:15,892  
INFO    	pipeline.utils.staging                  	currency_define_keys done.	2025-10-31 12:21:15,892  
INFO    	pipeline.utils.staging                  	Running apply_value_maps...	2025-10-31 12:21:15,892  
WARNING 	pipeline.utils.cleaning_functions       	'event_params__ad_shown_where' not found in DataFrame.	2025-10-31 12:21:15,945  
INFO    	pipeline.utils.staging                  	apply_value_maps done.	2025-10-31 12:21:15,960  
INFO    	pipeline.utils.staging                  	Running question_addressable_index...	2025-10-31 12:21:15,960  
INFO    	pipeline.utils.feature_engineering      	Question address created for 18431 rows.	2025-10-31 12:21:15,978  
INFO    	pipeline.utils.staging                  	question_addressable_index done.	2025-10-31 12:21:15,978  
INFO    	pipeline.utils.staging                  	Running question_answer_wrong_zeros...	2025-10-31 12:21:15,978  
INFO    	pipeline.utils.feature_engineering      	Filled NaN values in 'event_params__answered_wrong' with 0 for 'Question Completed' events.	2025-10-31 12:21:15,980  
INFO    	pipeline.utils.staging                  	question_answer_wrong_zeros done.	2025-10-31 12:21:15,980  
INFO    	__main__                                	Data pipeline executed successfully.	2025-10-31 12:21:15,980  
INFO    	__main__                                	Generating dataframes...	2025-10-31 12:21:15,981  
INFO    	analtytics.utils.split_functions        	Session-level dataframe created with 241 records and 21 columns.	2025-10-31 12:21:16,860  
INFO    	__main__                                	Dataframes generated successfully.	2025-10-31 12:21:16,860  
INFO    	__main__                                	Data pipeline complete. Processed data saved.	2025-10-31 12:21:18,730  
INFO 	__main__                                	Initializing pipeline...                	2025-10-31 12:22:10,082
INFO 	__main__                                	Module imports successful.              	2025-10-31 12:22:11,434
INFO 	__main__                                	Validating folder structure...          	2025-10-31 12:22:11,434
INFO 	pipeline.utils.main_functions           	Folder structure validated.             	2025-10-31 12:22:11,434
INFO 	__main__                                	Setting configuration parameters...     	2025-10-31 12:22:11,434
INFO 	__main__                                	Initializing BigQuery client...         	2025-10-31 12:22:11,434
INFO 	__main__                                	BigQuery client initialized.            	2025-10-31 12:22:11,479
INFO 	__main__                                	Starting data pull...                   	2025-10-31 12:22:11,480
INFO 	pipeline.utils.staging                  	Running pull_from_bq...                 	2025-10-31 12:22:11,501
INFO 	pipeline.utils.pull_functions           	No new tables to process.               	2025-10-31 12:22:12,869
INFO 	pipeline.utils.pull_functions           	Merging data...                         	2025-10-31 12:22:12,869
INFO 	pipeline.utils.staging                  	pull_from_bq done.                      	2025-10-31 12:22:13,888
INFO 	pipeline.utils.staging                  	Running flatten_dataframe...            	2025-10-31 12:22:13,888
INFO 	pipeline.utils.staging                  	flatten_dataframe done.                 	2025-10-31 12:22:16,944
INFO 	pipeline.utils.staging                  	Running dots_to_underscores...          	2025-10-31 12:22:16,945
INFO 	pipeline.utils.cleaning_functions       	Column names updated to use '__' instead of '.' successfully.	2025-10-31 12:22:16,945
INFO 	pipeline.utils.staging                  	dots_to_underscores done.               	2025-10-31 12:22:16,945
INFO 	pipeline.utils.staging                  	Running transform_datetime_fields...    	2025-10-31 12:22:16,946
INFO 	pipeline.utils.time_and_date_functions  	Date/time cleanup and transformation complete.	2025-10-31 12:22:16,999
INFO 	pipeline.utils.staging                  	transform_datetime_fields done.         	2025-10-31 12:22:17,003
INFO 	pipeline.utils.staging                  	Running add_time_based_features...      	2025-10-31 12:22:17,003
INFO 	pipeline.utils.time_and_date_functions  	Time-based features added successfully. 	2025-10-31 12:22:17,027
INFO 	pipeline.utils.staging                  	add_time_based_features done.           	2025-10-31 12:22:17,027
INFO 	pipeline.utils.staging                  	Running add_durations...                	2025-10-31 12:22:17,028
INFO 	pipeline.utils.time_and_date_functions  	Session IDs assigned and durations calculated for 360 unique sessions.	2025-10-31 12:22:17,557
INFO 	pipeline.utils.time_and_date_functions  	Event durations within sessions calculated successfully.	2025-10-31 12:22:17,585
INFO 	pipeline.utils.staging                  	add_durations done.                     	2025-10-31 12:22:17,589
INFO 	pipeline.utils.staging                  	Running forward_fill_progress...        	2025-10-31 12:22:17,589
INFO 	pipeline.utils.feature_engineering      	Character names, tiers, and question indices forward-filled for 360 unique sessions.	2025-10-31 12:22:17,633
INFO 	pipeline.utils.staging                  	forward_fill_progress done.             	2025-10-31 12:22:17,638
INFO 	pipeline.utils.staging                  	Running question_index_cleanup...       	2025-10-31 12:22:17,638
INFO 	pipeline.utils.cleaning_functions       	Question index cleaned up for 18431 rows.	2025-10-31 12:22:17,665
INFO 	pipeline.utils.staging                  	question_index_cleanup done.            	2025-10-31 12:22:17,665
INFO 	pipeline.utils.staging                  	Running question_cumulative_qi...       	2025-10-31 12:22:17,665
INFO 	pipeline.utils.feature_engineering      	Cumulative question index calculated for 18431 rows.	2025-10-31 12:22:17,680
INFO 	pipeline.utils.staging                  	question_cumulative_qi done.            	2025-10-31 12:22:17,681
INFO 	pipeline.utils.staging                  	Running mini_game_features...           	2025-10-31 12:22:17,681
INFO 	pipeline.utils.feature_engineering      	Extracted maze hand data for 73 rows.   	2025-10-31 12:22:17,691
INFO 	pipeline.utils.staging                  	mini_game_features done.                	2025-10-31 12:22:17,691
INFO 	pipeline.utils.staging                  	Running mini_game_reward_split...       	2025-10-31 12:22:17,692
INFO 	pipeline.utils.feature_engineering      	Extracted buff data for 76 rows.        	2025-10-31 12:22:17,701
INFO 	pipeline.utils.staging                  	mini_game_reward_split done.            	2025-10-31 12:22:17,701
INFO 	pipeline.utils.staging                  	Running mini_game_buffs...              	2025-10-31 12:22:17,701
INFO 	pipeline.utils.feature_engineering      	Extracted earned buff data for 76 rows. 	2025-10-31 12:22:17,706
INFO 	pipeline.utils.staging                  	mini_game_buffs done.                   	2025-10-31 12:22:17,706
INFO 	pipeline.utils.staging                  	Running mini_game_dolls...              	2025-10-31 12:22:17,706
INFO 	pipeline.utils.feature_engineering      	Extracted doll data for 23 rows.        	2025-10-31 12:22:17,712
INFO 	pipeline.utils.staging                  	mini_game_dolls done.                   	2025-10-31 12:22:17,712
INFO 	pipeline.utils.staging                  	Running currency_define_permanent...    	2025-10-31 12:22:17,712
INFO 	pipeline.utils.feature_engineering      	Extracted permanent shop item data for 42 rows.	2025-10-31 12:22:17,718
INFO 	pipeline.utils.staging                  	currency_define_permanent done.         	2025-10-31 12:22:17,718
INFO 	pipeline.utils.staging                  	Running currency_define_consumable...   	2025-10-31 12:22:17,719
INFO 	pipeline.utils.feature_engineering      	Extracted consumable shop item data for 206 rows.	2025-10-31 12:22:17,724
INFO 	pipeline.utils.staging                  	currency_define_consumable done.        	2025-10-31 12:22:17,725
INFO 	pipeline.utils.staging                  	Running currency_define_board...        	2025-10-31 12:22:17,725
INFO 	pipeline.utils.feature_engineering      	Extracted board item data for 83 rows.  	2025-10-31 12:22:17,728
INFO 	pipeline.utils.staging                  	currency_define_board done.             	2025-10-31 12:22:17,728
INFO 	pipeline.utils.staging                  	Running currency_define_keys...         	2025-10-31 12:22:17,728
INFO 	pipeline.utils.feature_engineering      	Defined keys in spent_to for 6 rows.    	2025-10-31 12:22:17,730
INFO 	pipeline.utils.staging                  	currency_define_keys done.              	2025-10-31 12:22:17,730
INFO 	pipeline.utils.staging                  	Running apply_value_maps...             	2025-10-31 12:22:17,730
WARNING	pipeline.utils.cleaning_functions       	'event_params__ad_shown_where' not found in DataFrame.	2025-10-31 12:22:17,782
INFO 	pipeline.utils.staging                  	apply_value_maps done.                  	2025-10-31 12:22:17,798
INFO 	pipeline.utils.staging                  	Running question_addressable_index...   	2025-10-31 12:22:17,798
INFO 	pipeline.utils.feature_engineering      	Question address created for 18431 rows.	2025-10-31 12:22:17,815
INFO 	pipeline.utils.staging                  	question_addressable_index done.        	2025-10-31 12:22:17,816
INFO 	pipeline.utils.staging                  	Running question_answer_wrong_zeros...  	2025-10-31 12:22:17,816
INFO 	pipeline.utils.feature_engineering      	Filled NaN values in 'event_params__answered_wrong' with 0 for 'Question Completed' events.	2025-10-31 12:22:17,817
INFO 	pipeline.utils.staging                  	question_answer_wrong_zeros done.       	2025-10-31 12:22:17,818
INFO 	__main__                                	Data pipeline executed successfully.    	2025-10-31 12:22:17,818
INFO 	__main__                                	Generating dataframes...                	2025-10-31 12:22:17,818
INFO 	analtytics.utils.split_functions        	Session-level dataframe created with 241 records and 21 columns.	2025-10-31 12:22:18,684
INFO 	__main__                                	Dataframes generated successfully.      	2025-10-31 12:22:18,685
INFO 	__main__                                	Data pipeline complete. Processed data saved.	2025-10-31 12:22:20,625
2025-10-31 12:23:21,309	INFO    	__main__                                	Initializing pipeline...
2025-10-31 12:23:22,655	INFO    	__main__                                	Module imports successful.
2025-10-31 12:23:22,655	INFO    	__main__                                	Validating folder structure...
2025-10-31 12:23:22,655	INFO    	pipeline.utils.main_functions           	Folder structure validated.
2025-10-31 12:23:22,655	INFO    	__main__                                	Setting configuration parameters...
2025-10-31 12:23:22,656	INFO    	__main__                                	Initializing BigQuery client...
2025-10-31 12:23:22,700	INFO    	__main__                                	BigQuery client initialized.
2025-10-31 12:23:22,701	INFO    	__main__                                	Starting data pull...
2025-10-31 12:23:22,713	INFO    	pipeline.utils.staging                  	Running pull_from_bq...
2025-10-31 12:23:24,411	INFO    	pipeline.utils.pull_functions           	No new tables to process.
2025-10-31 12:23:24,411	INFO    	pipeline.utils.pull_functions           	Merging data...
2025-10-31 12:23:25,474	INFO    	pipeline.utils.staging                  	pull_from_bq done.
2025-10-31 12:23:25,474	INFO    	pipeline.utils.staging                  	Running flatten_dataframe...
2025-10-31 12:23:28,501	INFO    	pipeline.utils.staging                  	flatten_dataframe done.
2025-10-31 12:23:28,502	INFO    	pipeline.utils.staging                  	Running dots_to_underscores...
2025-10-31 12:23:28,502	INFO    	pipeline.utils.cleaning_functions       	Column names updated to use '__' instead of '.' successfully.
2025-10-31 12:23:28,502	INFO    	pipeline.utils.staging                  	dots_to_underscores done.
2025-10-31 12:23:28,503	INFO    	pipeline.utils.staging                  	Running transform_datetime_fields...
2025-10-31 12:23:28,555	INFO    	pipeline.utils.time_and_date_functions  	Date/time cleanup and transformation complete.
2025-10-31 12:23:28,558	INFO    	pipeline.utils.staging                  	transform_datetime_fields done.
2025-10-31 12:23:28,558	INFO    	pipeline.utils.staging                  	Running add_time_based_features...
2025-10-31 12:23:28,581	INFO    	pipeline.utils.time_and_date_functions  	Time-based features added successfully.
2025-10-31 12:23:28,581	INFO    	pipeline.utils.staging                  	add_time_based_features done.
2025-10-31 12:23:28,582	INFO    	pipeline.utils.staging                  	Running add_durations...
2025-10-31 12:23:29,101	INFO    	pipeline.utils.time_and_date_functions  	Session IDs assigned and durations calculated for 360 unique sessions.
2025-10-31 12:23:29,128	INFO    	pipeline.utils.time_and_date_functions  	Event durations within sessions calculated successfully.
2025-10-31 12:23:29,132	INFO    	pipeline.utils.staging                  	add_durations done.
