2025-10-30 10:38:57,044  	INFO    	pipeline.utils.staging                  	question_addressable_index done.
2025-10-30 10:38:57,044  	INFO    	__main__                                	Data pipeline executed successfully.
2025-10-30 10:38:57,044  	INFO    	__main__                                	Generating dataframes...
2025-10-30 10:38:57,544  	INFO    	analtytics.utils.split_functions        	Session-level dataframe created with 357 records and 15 columns.
2025-10-30 10:38:57,545  	INFO    	__main__                                	Dataframes generated successfully.
2025-10-30 10:38:59,313  	INFO    	__main__                                	Data pipeline complete. Processed data saved.
2025-10-30 10:45:41,911  	INFO    	__main__                                	Initializing pipeline...
2025-10-30 10:45:43,351  	INFO    	__main__                                	Module imports successful.
2025-10-30 10:45:43,351  	INFO    	__main__                                	Validating folder structure...
2025-10-30 10:45:43,352  	INFO    	pipeline.utils.main_functions           	Folder structure validated.
2025-10-30 10:45:43,352  	INFO    	__main__                                	Setting configuration parameters...
2025-10-30 10:45:43,352  	INFO    	__main__                                	Initializing BigQuery client...
2025-10-30 10:45:43,396  	INFO    	__main__                                	BigQuery client initialized.
2025-10-30 10:45:43,398  	INFO    	__main__                                	Starting data pull...
2025-10-30 10:45:43,412  	INFO    	pipeline.utils.staging                  	Running pull_from_bq...
2025-10-30 10:45:44,862  	INFO    	pipeline.utils.pull_functions           	No new tables to process.
2025-10-30 10:45:44,862  	INFO    	pipeline.utils.pull_functions           	Merging data...
2025-10-30 10:45:45,897  	INFO    	pipeline.utils.staging                  	pull_from_bq done.
2025-10-30 10:45:45,897  	INFO    	pipeline.utils.staging                  	Running flatten_dataframe...
2025-10-30 10:45:48,919  	INFO    	pipeline.utils.staging                  	flatten_dataframe done.
2025-10-30 10:45:48,919  	INFO    	pipeline.utils.staging                  	Running dots_to_underscores...
2025-10-30 10:45:48,920  	INFO    	pipeline.utils.cleaning_functions       	Column names updated to use '__' instead of '.' successfully.
2025-10-30 10:45:48,920  	INFO    	pipeline.utils.staging                  	dots_to_underscores done.
2025-10-30 10:45:48,920  	INFO    	pipeline.utils.staging                  	Running transform_datetime_fields...
2025-10-30 10:45:48,972  	INFO    	pipeline.utils.time_and_date_functions  	Date/time cleanup and transformation complete.
2025-10-30 10:45:48,976  	INFO    	pipeline.utils.staging                  	transform_datetime_fields done.
2025-10-30 10:45:48,976  	INFO    	pipeline.utils.staging                  	Running add_time_based_features...
2025-10-30 10:45:49,000  	INFO    	pipeline.utils.time_and_date_functions  	Time-based features added successfully.
2025-10-30 10:45:49,000  	INFO    	pipeline.utils.staging                  	add_time_based_features done.
2025-10-30 10:45:49,000  	INFO    	pipeline.utils.staging                  	Running add_durations...
2025-10-30 10:45:49,522  	INFO    	pipeline.utils.time_and_date_functions  	Session IDs assigned and durations calculated for 357 unique sessions.
2025-10-30 10:45:49,548  	INFO    	pipeline.utils.time_and_date_functions  	Event durations within sessions calculated successfully.
2025-10-30 10:45:49,552  	INFO    	pipeline.utils.staging                  	add_durations done.
2025-10-30 10:45:49,552  	INFO    	pipeline.utils.staging                  	Running forward_fill_progress...
2025-10-30 10:45:49,596  	INFO    	pipeline.utils.feature_engineering      	Character names, tiers, and question indices forward-filled for 357 unique sessions.
2025-10-30 10:45:49,601  	INFO    	pipeline.utils.staging                  	forward_fill_progress done.
2025-10-30 10:45:49,601  	INFO    	pipeline.utils.staging                  	Running question_index_cleanup...
2025-10-30 10:45:49,627  	INFO    	pipeline.utils.cleaning_functions       	Question index cleaned up for 18426 rows.
2025-10-30 10:45:49,627  	INFO    	pipeline.utils.staging                  	question_index_cleanup done.
2025-10-30 10:45:49,628  	INFO    	pipeline.utils.staging                  	Running question_cumulative_qi...
2025-10-30 10:45:49,643  	INFO    	pipeline.utils.feature_engineering      	Cumulative question index calculated for 18426 rows.
2025-10-30 10:45:49,643  	INFO    	pipeline.utils.staging                  	question_cumulative_qi done.
2025-10-30 10:45:49,643  	INFO    	pipeline.utils.staging                  	Running mini_game_features...
2025-10-30 10:45:49,651  	INFO    	pipeline.utils.feature_engineering      	Extracted maze hand data for 73 rows.
